tiempo_s,vel_m1,vel_m2,vel_m3,vel_m4,act_m1,act_m2,act_m3,act_m4
290.6360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
290.6515,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
290.6683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
290.6850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
290.7203,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
290.7391,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
290.7579,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
290.7887,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
290.8043,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
290.8195,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
290.8349,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
290.8683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
290.8849,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
290.9017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
290.9184,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
290.9517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
290.9684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
290.9865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.0036,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.0381,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.0530,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.0691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.0850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.1183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.1349,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.1517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.1681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.1868,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.2056,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.2199,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.2347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.2681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.2848,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.3014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.3183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.3526,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.3718,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.3862,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.4053,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.4378,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.4527,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.4683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.4851,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.5202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.5363,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.5546,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.5914,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.6084,0.0000,0.0000,0.0000,0.0451,0.0000,0.0000,0.0000,0.0000
291.6262,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.6431,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.6775,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.6946,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.7120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.7452,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.7616,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.7787,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.7950,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.8290,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.8461,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.8641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.8784,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.9079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.9238,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.9422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.9600,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
291.9934,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.0115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.0292,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.0469,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.0656,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.0840,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.1009,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.1202,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.1495,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.1695,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.1841,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.1986,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.2283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.2441,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.2641,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.2810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.3207,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.3375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.3561,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.3899,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.4060,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.4227,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.4398,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.4731,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.4897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.5062,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.5225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.5568,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.5736,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.5915,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.6301,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.6463,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.6621,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.6779,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.7077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.7225,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.7381,0.0492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.7537,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.7848,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.8014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.8181,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.8348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.8680,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.8850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.9018,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.9198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.9375,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.9710,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
292.9854,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.0232,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.0389,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.0740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.0928,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.1298,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.1491,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.1667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.2059,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.2237,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.2420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.2782,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.2933,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.3123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.3279,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.3616,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.3801,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.3987,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.4168,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.4462,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.4609,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.4755,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.4904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.5204,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.5357,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.5515,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.5717,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.6095,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.6257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.6447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.6611,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.6920,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.7079,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.7259,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.7404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.7682,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.7848,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.8015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.8182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.8383,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.8681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.8849,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.9015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.9182,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.9348,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.9515,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
293.9681,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.0015,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.0199,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.0361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.0531,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.0872,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.1017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.1183,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.1357,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.1683,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.1852,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.2016,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.2185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.2526,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.2693,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.2850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.3034,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.3210,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.3360,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
294.3517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
